epoch,train_loss,train_acc,train_balanced_acc,train_auc,val_loss,val_acc,val_balanced_acc,val_auc
1,0.6855638176202774,0.5416666666666666,0.4877046275954929,0.5254057118559988,0.6875015417734782,0.5666666666666667,0.5,0.501131221719457
2,0.6943457494179408,0.5208333333333334,0.4670469846219261,0.4588618808022111,0.6875589609146118,0.5666666666666667,0.5,0.5
3,0.6947638044754664,0.5791666666666667,0.5133229395507052,0.4724682871518673,0.6867688616116842,0.5666666666666667,0.5,0.49547511312217196
4,0.6909201929966609,0.5458333333333333,0.4829211253631918,0.4667280844731061,0.6866408904393514,0.5666666666666667,0.5,0.49547511312217196
5,0.6847131739060084,0.575,0.5181064417830061,0.5081142371199774,0.6875987529754639,0.5666666666666667,0.5,0.49208144796380093
6,0.6919553269942601,0.5416666666666666,0.47927149032669547,0.47083835305789806,0.6871362050374349,0.5666666666666667,0.5,0.49660633484162897
7,0.6893913090229035,0.55,0.4841612926086032,0.481468358018567,0.6872404019037882,0.5666666666666667,0.5,0.4909502262443439
8,0.6855538149674734,0.5666666666666667,0.5011693005456737,0.5093189710155198,0.6871448636054993,0.5666666666666667,0.5,0.47058823529411764
9,0.6875018546978633,0.575,0.5096733045142088,0.496917298561406,0.6874771078427633,0.5666666666666667,0.5,0.4570135746606335
10,0.6838525046904882,0.575,0.5084685706186663,0.5021614343420027,0.6867077708244324,0.5666666666666667,0.5,0.45022624434389147
11,0.6742564807335536,0.575,0.5048543689320388,0.5884770746226349,0.6898555755615234,0.55,0.48981900452488686,0.497737556561086
12,0.6814383347829183,0.55,0.4853660265041457,0.526397845652328,0.6856724103291829,0.5666666666666667,0.5,0.4434389140271493
13,0.6824756890535355,0.5708333333333333,0.502409467791085,0.5286655800439373,0.6878604928652445,0.55,0.5124434389140271,0.46945701357466063
14,0.6821583574016888,0.5666666666666667,0.4999645666501311,0.532208915030827,0.697335155804952,0.5666666666666667,0.5,0.4671945701357466
15,0.6744344691435497,0.575,0.5132875062008362,0.5727446672808447,0.6883382757504781,0.4166666666666667,0.3993212669683258,0.45927601809954754
16,0.6827045669158299,0.5541666666666667,0.489015661540642,0.5353270498192899,0.6891913493474324,0.43333333333333335,0.4411764705882353,0.502262443438914
17,0.6828914771477381,0.5708333333333333,0.5036142016866275,0.5295868471405287,0.6857137799263,0.5333333333333333,0.4932126696832579,0.4796380090497737
18,0.670763036608696,0.5541666666666667,0.4878109276450996,0.6136347530295514,0.7111426055431366,0.5666666666666667,0.5,0.4852941176470589
19,0.686670516928037,0.5666666666666667,0.4999645666501311,0.4701651194103891,0.6937599221865336,0.55,0.5893665158371041,0.4660633484162896
20,0.670802327990532,0.5583333333333333,0.4926652965771384,0.592516476507689,0.6837889631589253,0.5666666666666667,0.504524886877828,0.4920814479638009
21,0.6785917003949483,0.5875,0.5242364113103253,0.5441145205867763,0.6849412441253662,0.5166666666666667,0.47398190045248867,0.48642533936651583
22,0.6753839164972305,0.5666666666666667,0.5011693005456737,0.5903196088158176,0.6859062234560649,0.55,0.498868778280543,0.5475113122171946
23,0.6758839984734853,0.5708333333333333,0.502409467791085,0.5755084685706187,0.6874371449152629,0.5333333333333333,0.5113122171945701,0.5588235294117647
24,0.6774968971808751,0.5541666666666667,0.4926298632272695,0.5527602579547871,0.6874190211296082,0.5,0.49547511312217196,0.5418552036199095
25,0.6709382017453511,0.5625,0.4987243994047197,0.6034299482673091,0.6844556411107381,0.55,0.5124434389140271,0.5305429864253394
26,0.6696577310562134,0.5875,0.5254411452058678,0.6056268159591807,0.687653919061025,0.4666666666666667,0.47058823529411764,0.5316742081447964
27,0.6577611108620961,0.5625,0.4999291333002622,0.6396428318333215,0.6904856324195862,0.5,0.5135746606334841,0.5644796380090498
28,0.6752264241377512,0.5875,0.5314648146835802,0.5771384026645879,0.6854684511820476,0.4666666666666667,0.47058823529411764,0.5305429864253394
29,0.6593353634079298,0.5666666666666667,0.5047835022323011,0.6459499681099852,0.6886212348937988,0.43333333333333335,0.45022624434389136,0.5328054298642534
30,0.6685906996329626,0.5708333333333333,0.5168662745375948,0.601445680674651,0.6957503875096639,0.5333333333333333,0.5882352941176471,0.5633484162895928
31,0.6628682384888331,0.5541666666666667,0.49624406491389694,0.6265324923818298,0.690632184346517,0.48333333333333334,0.5079185520361991,0.5407239819004525
32,0.6605745991071065,0.5833333333333334,0.5290199135426263,0.6266033590815676,0.6908963958422343,0.5166666666666667,0.5463800904977376,0.5486425339366516
33,0.6563224554061889,0.6,0.5460279214796967,0.6441783006165402,0.6909689585367839,0.5333333333333333,0.5656108597285068,0.5554298642533937
34,0.6688207656145095,0.5583333333333333,0.4986889660548508,0.5929416767061158,0.6955425024032593,0.55,0.6029411764705882,0.5633484162895928
35,0.6653751184542974,0.5708333333333333,0.5168662745375948,0.6082488838494792,0.7008743564287822,0.45,0.5147058823529411,0.5882352941176471
36,0.6669686963160832,0.5666666666666667,0.5047835022323011,0.6087449507476437,0.6867436408996582,0.43333333333333335,0.45022624434389136,0.5554298642533937
37,0.6607121676206589,0.5708333333333333,0.5216852101197648,0.6253277584862872,0.6877747495969136,0.4666666666666667,0.4886877828054299,0.5463800904977375
38,0.6734976847966512,0.55,0.49620863156402806,0.5765006023669478,0.6904507001241048,0.55,0.584841628959276,0.5599547511312217
39,0.6666271924972534,0.5666666666666667,0.5168308411877259,0.6112252852384665,0.6899880369504293,0.5666666666666667,0.6040723981900452,0.5531674208144797
40,0.6697952002286911,0.5666666666666667,0.5192403089788108,0.5850754730352208,0.6909613529841105,0.5666666666666667,0.6040723981900452,0.5520361990950227
41,0.6594765772422154,0.6166666666666667,0.5666501311033945,0.6457373680107718,0.6920450290044149,0.5166666666666667,0.5599547511312217,0.5554298642533937
42,0.6727165708939234,0.5375,0.48525972645453896,0.5713273332860889,0.6890332063039144,0.55,0.584841628959276,0.5531674208144797
43,0.6623241712649663,0.5916666666666667,0.5399333853022464,0.6254694918857628,0.6911729137102763,0.55,0.5893665158371041,0.5576923076923077
44,0.6563613990942637,0.6125,0.5690241655446107,0.6443909007157537,0.6925474961598714,0.5166666666666667,0.5599547511312217,0.5588235294117647
45,0.6547269374132156,0.6041666666666666,0.5484728226206506,0.651477570689533,0.6910636742909749,0.55,0.5893665158371041,0.5565610859728507
46,0.6540882537762324,0.6041666666666666,0.5532917582028205,0.6494933030968747,0.6916115403175354,0.5333333333333333,0.5746606334841629,0.5565610859728507
47,0.6561459590991338,0.6166666666666667,0.570264332790022,0.6609028417546594,0.69027761220932,0.5666666666666667,0.6040723981900452,0.5542986425339367
48,0.6673494348923366,0.5583333333333333,0.5083268372191907,0.5937212104032314,0.6949195543924968,0.55,0.5984162895927602,0.5599547511312217
49,0.6610334197680156,0.5583333333333333,0.5107363050102757,0.6255403585855007,0.6922200759251912,0.5166666666666667,0.5599547511312217,0.5588235294117647
50,0.6585607081651688,0.5833333333333334,0.5338388491247963,0.641201899227553,0.6914641459782919,0.5166666666666667,0.5599547511312217,0.5554298642533937
