epoch,train_loss,train_acc,train_balanced_acc,train_auc,val_loss,val_acc,val_balanced_acc,val_auc
1,0.6951863547166188,0.5291666666666667,0.4719367869038339,0.44801927574232875,0.6872769316037496,0.5666666666666667,0.5,0.4728506787330317
2,0.682439382870992,0.55,0.4841612926086032,0.5341931826234851,0.6864805658658345,0.5666666666666667,0.5,0.4457013574660633
3,0.6851796160141627,0.575,0.5084685706186663,0.515767840691659,0.6875400145848592,0.5666666666666667,0.5,0.43891402714932126
4,0.6848665793736776,0.5541666666666667,0.491425129331727,0.5009567004464601,0.6887927651405334,0.5666666666666667,0.5,0.4298642533936652
5,0.6807260860999426,0.5791666666666667,0.5145276734462476,0.5237049110622919,0.6874377290407817,0.5666666666666667,0.5,0.45588235294117646
6,0.6687429656585058,0.5833333333333334,0.518177308482744,0.6099496846431862,0.688585098584493,0.55,0.49434389140271495,0.4570135746606335
7,0.6755651593208313,0.5458333333333333,0.48051165757210684,0.5752958684714052,0.6893995920817058,0.4666666666666667,0.4570135746606335,0.4830316742081448
8,0.6741634627183278,0.5458333333333333,0.4841258592587343,0.5757919353695699,0.6897924065589904,0.43333333333333335,0.42760180995475117,0.48642533936651583
9,0.6653055757284164,0.5958333333333333,0.5375593508610303,0.6334774289561336,0.6948245525360107,0.48333333333333334,0.5079185520361991,0.501131221719457
10,0.6750284940004349,0.5708333333333333,0.5108426050598823,0.5885479413223725,0.689902377128601,0.55,0.4852941176470588,0.4581447963800905
11,0.6700486967960994,0.5916666666666667,0.5278860463468217,0.5947842108992984,0.6976928313573202,0.5166666666666667,0.5644796380090498,0.5441176470588236
12,0.6708094954490662,0.5625,0.5059528027779746,0.6032173481680959,0.6970892190933228,0.5166666666666667,0.5509049773755657,0.5248868778280543
13,0.670468711356322,0.5916666666666667,0.5375239175111615,0.5954220111969386,0.7028208374977112,0.5666666666666667,0.6085972850678734,0.5113122171945701
14,0.6623363455136617,0.5958333333333333,0.5411735525476579,0.6305718942668839,0.692678701877594,0.43333333333333335,0.4457013574660633,0.5214932126696832
15,0.6747947285572687,0.5875,0.5350790163702076,0.5752250017716676,0.7164944489796956,0.48333333333333334,0.5441176470588235,0.5463800904977376
16,0.6746355791886648,0.5458333333333333,0.4937637304230742,0.5687052653957906,0.7277522325515747,0.43333333333333335,0.5,0.5463800904977376
17,0.6726592858632405,0.5666666666666667,0.5276734462476083,0.5786974700588193,0.7002122879028321,0.5666666666666667,0.6040723981900452,0.5361990950226245
18,0.653384788831075,0.6583333333333333,0.6176032882148679,0.6782651831904188,0.6986255407333374,0.43333333333333335,0.45022624434389136,0.5271493212669682
19,0.6685046295324961,0.5708333333333333,0.5216852101197648,0.6061937495570832,0.7307780861854554,0.43333333333333335,0.5,0.5678733031674208
20,0.6594630052646001,0.6,0.5496421231663241,0.6453830345120827,0.7151356021563212,0.5666666666666667,0.6085972850678734,0.5486425339366516
21,0.6761372278134028,0.5791666666666667,0.5325986818793849,0.5630359294167671,0.7062104860941569,0.5,0.5271493212669683,0.5305429864253395
22,0.6645000159740448,0.6083333333333333,0.5569413932393168,0.6051307490610163,0.6933057069778442,0.4166666666666667,0.42647058823529416,0.5260180995475113
23,0.663296773036321,0.5708333333333333,0.5204804762242222,0.6273120260789457,0.7037191152572632,0.5666666666666667,0.6040723981900452,0.5554298642533937
24,0.6659597923358281,0.5833333333333334,0.5410672524980511,0.6133512862306003,0.7355857014656066,0.4666666666666667,0.5294117647058824,0.5735294117647058
25,0.6591077884038289,0.625,0.5823825384451846,0.6247608248883849,0.6986073573430379,0.43333333333333335,0.4457013574660633,0.5328054298642534
26,0.6626976509888967,0.5833333333333334,0.5495003897668486,0.6203670895046418,0.709671926498413,0.55,0.584841628959276,0.5475113122171946
27,0.6600341747204462,0.5958333333333333,0.5544256253986252,0.6265324923818298,0.7318510055541992,0.5333333333333333,0.583710407239819,0.5610859728506787
28,0.6530477692683537,0.6458333333333334,0.6102685847920062,0.6463751683084118,0.712079656124115,0.48333333333333334,0.5441176470588235,0.5554298642533937
29,0.6721796462933223,0.5833333333333334,0.5338388491247963,0.5971228119906455,0.7746148784955342,0.43333333333333335,0.5,0.5916289592760181
30,0.6606314112742742,0.6083333333333333,0.5665792644036567,0.621997023598611,0.7210691690444946,0.5833333333333334,0.6278280542986425,0.5576923076923077
31,0.6506319910287857,0.6208333333333333,0.5883707745730281,0.6533201048827156,0.9022248427073161,0.43333333333333335,0.5,0.5950226244343891
32,0.6566992416977883,0.5875,0.5447168875345475,0.6343278293529871,0.7036433617273966,0.5333333333333333,0.5701357466063348,0.5328054298642534
33,0.6426402901609739,0.6,0.564098929912834,0.6743675147048402,0.697313400109609,0.5166666666666667,0.5463800904977376,0.5463800904977376
34,0.645644511282444,0.65,0.61753242151513,0.6778399829919921,0.716202453772227,0.5166666666666667,0.5644796380090498,0.5712669683257918
35,0.6685126518209775,0.575,0.5205159095740911,0.6103040181418752,0.8633041679859161,0.43333333333333335,0.5,0.6142533936651584
36,0.6447787404060363,0.6333333333333333,0.5981149457869747,0.6810289844801927,0.7149255514144898,0.5333333333333333,0.583710407239819,0.5531674208144797
37,0.6527380908528964,0.6166666666666667,0.5859258734320743,0.6478633690029055,0.7464009284973144,0.5,0.5588235294117647,0.5723981900452488
38,0.6618369142214457,0.5916666666666667,0.5616185954220112,0.6317057614626886,0.7647036751111348,0.4666666666666667,0.5294117647058824,0.5859728506787331
39,0.6504372095068296,0.6,0.5580752604351216,0.6587059740627879,0.7894935349623362,0.43333333333333335,0.5,0.6085972850678734
40,0.6477157309651375,0.5916666666666667,0.5555949259442987,0.6560839061724896,0.841491985321045,0.43333333333333335,0.5,0.6153846153846154
41,0.662842391928037,0.6041666666666666,0.5773864361136701,0.6105874849408263,0.7473910272121429,0.4666666666666667,0.5294117647058824,0.5882352941176471
42,0.6514351869622866,0.6375,0.5993551130323861,0.651123237190844,0.8217504282792409,0.43333333333333335,0.5,0.6085972850678734
43,0.6381698225935301,0.6458333333333334,0.6126780525830912,0.6803203174828149,0.7351696411768596,0.5333333333333333,0.583710407239819,0.5509049773755657
44,0.6339330519239108,0.6166666666666667,0.5907448090142442,0.6940684572319467,0.9215142091115316,0.43333333333333335,0.5,0.6233031674208145
