epoch,train_loss,train_acc,train_balanced_acc,train_auc,val_loss,val_acc,val_balanced_acc,val_auc
1,0.7267619838317235,0.4375,0.4894179894179894,0.5104761904761905,0.7192713022232056,0.43333333333333335,0.5,0.4796380090497738
2,0.6976168463627498,0.5125,0.5296296296296297,0.5432804232804234,0.7013185342152913,0.43333333333333335,0.5,0.3981900452488688
3,0.6924769063790639,0.5375,0.5222222222222223,0.5207760141093475,0.6920396844546001,0.55,0.4852941176470588,0.4083710407239819
4,0.682203874985377,0.5416666666666666,0.5174603174603175,0.5610582010582011,0.6919472058614095,0.55,0.4852941176470588,0.3981900452488688
5,0.697114125887553,0.5416666666666666,0.5037037037037038,0.46320987654320983,0.6919837991396586,0.55,0.4852941176470588,0.39705882352941174
6,0.6932719359795253,0.5458333333333333,0.5,0.476331569664903,0.6895506540934245,0.5666666666666667,0.5,0.40837104072398195
7,0.693644321958224,0.5541666666666667,0.5095238095238095,0.4804938271604938,0.6912189841270446,0.5666666666666667,0.5,0.4072398190045249
8,0.697212415933609,0.5125,0.46825396825396826,0.4500881834215168,0.6927964131037394,0.55,0.49434389140271495,0.40158371040723984
9,0.6846798449754715,0.5583333333333333,0.5164021164021164,0.5397530864197531,0.6910825848579407,0.5666666666666667,0.5,0.41855203619909503
10,0.6857020859917005,0.5375,0.4894179894179894,0.5200705467372134,0.6880726337432861,0.5666666666666667,0.5,0.42194570135746606
11,0.6738175888856252,0.5916666666666667,0.5439153439153439,0.5930864197530864,0.6890393773714701,0.5666666666666667,0.5,0.41628959276018096
12,0.6882909297943115,0.5333333333333333,0.4867724867724868,0.5128042328042328,0.6887351155281067,0.5666666666666667,0.5,0.42081447963800905
13,0.6794445107380549,0.5708333333333333,0.5137566137566137,0.5552733686067018,0.6863111615180969,0.5666666666666667,0.5,0.4660633484162896
14,0.6770112723112106,0.5833333333333334,0.5386243386243386,0.5800352733686067,0.6875877300898234,0.5666666666666667,0.5,0.43891402714932126
15,0.6910356551408767,0.525,0.4708994708994709,0.49192239858906517,0.6870041211446126,0.5666666666666667,0.5,0.4558823529411765
16,0.6743066271146139,0.6,0.5513227513227513,0.5958377425044092,0.6879433830579121,0.5666666666666667,0.5,0.4423076923076924
